region,matching_algorithm,mape,,
"Truckee, CA metro area",shapedtw,10.28,1,48%
"Truckee, CA metro area",td_shapedtw,9.35,,
"Urbana, OH metro area",shapedtw,11.13,0,
"Urbana, OH metro area",td_shapedtw,11.96,,
"Birmingham, AL metro area",shapedtw,5.66,1,
"Birmingham, AL metro area",td_shapedtw,4.99,,
"Fallon, NV metro area",shapedtw,2.64,1,
"Fallon, NV metro area",td_shapedtw,1.99,,
"Tallahassee, FL metro area",shapedtw,5.17,1,
"Tallahassee, FL metro area",td_shapedtw,1.65,,
"Athens, TX metro area",shapedtw,8.86,1,
"Athens, TX metro area",td_shapedtw,8.19,,
"Alexander City, AL metro area",shapedtw,9.42,1,
"Alexander City, AL metro area",td_shapedtw,4.93,,
"Pensacola, FL metro area",shapedtw,1.26,0,
"Pensacola, FL metro area",td_shapedtw,1.79,,
"Clarksville, TN metro area",shapedtw,7.13,1,
"Clarksville, TN metro area",td_shapedtw,6.81,,
"Easton, MD metro area",shapedtw,11.02,1,
"Easton, MD metro area",td_shapedtw,9.81,,
"Sterling, IL metro area",shapedtw,16.46,1,
"Sterling, IL metro area",td_shapedtw,15.55,,
"Sierra Vista, AZ metro area",shapedtw,5.93,1,
"Sierra Vista, AZ metro area",td_shapedtw,1.8,,
"Camden, NJ metro area",shapedtw,3.62,1,
"Camden, NJ metro area",td_shapedtw,2.58,,
"Lima, OH metro area",shapedtw,14.71,1,
"Lima, OH metro area",td_shapedtw,13.61,,
"Los Angeles, CA metro area",shapedtw,0.33,0,
"Los Angeles, CA metro area",td_shapedtw,0.83,,
"Coos Bay, OR metro area",shapedtw,3.69,0,
"Coos Bay, OR metro area",td_shapedtw,4.06,,
"Ontario, OR metro area",shapedtw,15.66,0,
"Ontario, OR metro area",td_shapedtw,18.19,,
"San Diego, CA metro area",shapedtw,2.67,0,
"San Diego, CA metro area",td_shapedtw,3.16,,
"Memphis, TN metro area",shapedtw,2.25,0,
"Memphis, TN metro area",td_shapedtw,3.75,,
"Flint, MI metro area",shapedtw,4.06,1,
"Flint, MI metro area",td_shapedtw,3.24,,
"Springfield, IL metro area",shapedtw,5.97,0,
"Springfield, IL metro area",td_shapedtw,6.6,,
"Cornelia, GA metro area",shapedtw,1.73,0,
"Cornelia, GA metro area",td_shapedtw,1.85,,
"Austin, MN metro area",shapedtw,8.16,1,
"Austin, MN metro area",td_shapedtw,8.03,,
"Durant, OK metro area",shapedtw,9.12,0,
"Durant, OK metro area",td_shapedtw,9.22,,
"Madison, WI metro area",shapedtw,3.89,0,
"Madison, WI metro area",td_shapedtw,4.54,,
"El Paso, TX metro area",shapedtw,1.84,1,
"El Paso, TX metro area",td_shapedtw,1.71,,
"McPherson, KS metro area",shapedtw,15.62,0,
"McPherson, KS metro area",td_shapedtw,16.01,,
"Sandpoint, ID metro area",shapedtw,5.73,1,
"Sandpoint, ID metro area",td_shapedtw,5.45,,
"Manitowoc, WI metro area",shapedtw,9.1,0,
"Manitowoc, WI metro area",td_shapedtw,9.38,,
"Santa Cruz, CA metro area",shapedtw,4.24,0,
"Santa Cruz, CA metro area",td_shapedtw,4.33,,
"Cape Coral, FL metro area",shapedtw,3.06,1,
"Cape Coral, FL metro area",td_shapedtw,2.5,,
"Fort Lauderdale, FL metro area",shapedtw,3.15,0,
"Fort Lauderdale, FL metro area",td_shapedtw,3.38,,
"Bardstown, KY metro area",shapedtw,4.96,0,
"Bardstown, KY metro area",td_shapedtw,5.16,,
"Wilmington, OH metro area",shapedtw,9.73,0,
"Wilmington, OH metro area",td_shapedtw,9.97,,
"Somerset, KY metro area",shapedtw,9.1,0,
"Somerset, KY metro area",td_shapedtw,9.16,,
"Eugene, OR metro area",shapedtw,4.12,1,
"Eugene, OR metro area",td_shapedtw,4.01,,
"Rochester, NY metro area",shapedtw,3.45,0,
"Rochester, NY metro area",td_shapedtw,3.47,,
"Farmington, MO metro area",shapedtw,11.41,0,
"Farmington, MO metro area",td_shapedtw,11.83,,
"Salina, KS metro area",shapedtw,11.03,0,
"Salina, KS metro area",td_shapedtw,11.35,,
"Laconia, NH metro area",shapedtw,10.94,0,
"Laconia, NH metro area",td_shapedtw,12.99,,
"Lewiston, ME metro area",shapedtw,5.6,0,
"Lewiston, ME metro area",td_shapedtw,5.65,,
"Carson City, NV metro area",shapedtw,6.06,1,
"Carson City, NV metro area",td_shapedtw,5.38,,
"Batesville, AR metro area",shapedtw,11.48,0,
"Batesville, AR metro area",td_shapedtw,11.89,,
"Knoxville, TN metro area",shapedtw,2.37,1,
"Knoxville, TN metro area",td_shapedtw,2.35,,
"Twin Falls, ID metro area",shapedtw,10.54,1,
"Twin Falls, ID metro area",td_shapedtw,8.8,,
"Cedartown, GA metro area",shapedtw,5.72,0,
"Cedartown, GA metro area",td_shapedtw,6.12,,
"Huron, SD metro area",shapedtw,14.32,0,
"Huron, SD metro area",td_shapedtw,18.46,,
"St. Marys, GA metro area",shapedtw,2.13,0,
"St. Marys, GA metro area",td_shapedtw,5.18,,
"Champaign, IL metro area",shapedtw,7.96,0,
"Champaign, IL metro area",td_shapedtw,8.01,,
"El Campo, TX metro area",shapedtw,10.08,1,
"El Campo, TX metro area",td_shapedtw,8.69,,
"Davenport, IA metro area",shapedtw,5.19,0,
"Davenport, IA metro area",td_shapedtw,5.8,,
"Fayetteville, AR metro area",shapedtw,2.96,1,
"Fayetteville, AR metro area",td_shapedtw,2.9,,
"Kingston, NY metro area",shapedtw,3.85,1,
"Kingston, NY metro area",td_shapedtw,2.36,,
"Bellefontaine, OH metro area",shapedtw,16.67,0,
"Bellefontaine, OH metro area",td_shapedtw,16.8,,
"Merced, CA metro area",shapedtw,1.57,0,
"Merced, CA metro area",td_shapedtw,4.07,,
"Huntsville, AL metro area",shapedtw,2.57,0,
"Huntsville, AL metro area",td_shapedtw,2.82,,
"Cumberland, MD metro area",shapedtw,3.01,0,
"Cumberland, MD metro area",td_shapedtw,3.52,,
"Gary, IN metro area",shapedtw,2.59,0,
"Gary, IN metro area",td_shapedtw,2.69,,
"Roanoke, VA metro area",shapedtw,5.17,0,
"Roanoke, VA metro area",td_shapedtw,5.18,,
"Portland, OR metro area",shapedtw,1.02,0,
"Portland, OR metro area",td_shapedtw,1.71,,
"Fremont, NE metro area",shapedtw,10.63,0,
"Fremont, NE metro area",td_shapedtw,11.16,,
"DuBois, PA metro area",shapedtw,5.39,0,
"DuBois, PA metro area",td_shapedtw,5.57,,
"Effingham, IL metro area",shapedtw,18.36,1,
"Effingham, IL metro area",td_shapedtw,15.55,,
"Taylorville, IL metro area",shapedtw,10.95,1,
"Taylorville, IL metro area",td_shapedtw,9.1,,
"Akron, OH metro area",shapedtw,4.93,0,
"Akron, OH metro area",td_shapedtw,5.33,,
"Shelbyville, TN metro area",shapedtw,2.66,1,
"Shelbyville, TN metro area",td_shapedtw,2.21,,
"Sandusky, OH metro area",shapedtw,10.55,1,
"Sandusky, OH metro area",td_shapedtw,8.58,,
"Augusta, GA metro area",shapedtw,5.42,1,
"Augusta, GA metro area",td_shapedtw,5.07,,
"Frankfort, IN metro area",shapedtw,21.29,1,
"Frankfort, IN metro area",td_shapedtw,21.16,,
"Jefferson, GA metro area",shapedtw,5.03,0,
"Jefferson, GA metro area",td_shapedtw,5.27,,
"Jasper, AL metro area",shapedtw,6.02,0,
"Jasper, AL metro area",td_shapedtw,6.11,,
"Greensboro, NC metro area",shapedtw,1.35,0,
"Greensboro, NC metro area",td_shapedtw,1.35,,
"Dallas, TX metro area",shapedtw,2.86,1,
"Dallas, TX metro area",td_shapedtw,2.42,,
"Wilmington, DE metro area",shapedtw,3.02,1,
"Wilmington, DE metro area",td_shapedtw,1.57,,
"Mount Vernon, OH metro area",shapedtw,12.74,1,
"Mount Vernon, OH metro area",td_shapedtw,8.4,,
"Fresno, CA metro area",shapedtw,2.72,1,
"Fresno, CA metro area",td_shapedtw,2.71,,
"Miami, FL metro area",shapedtw,3.22,0,
"Miami, FL metro area",td_shapedtw,3.4,,
"New Brunswick, NJ metro area",shapedtw,1.17,0,
"New Brunswick, NJ metro area",td_shapedtw,1.17,,
"Okeechobee, FL metro area",shapedtw,13.42,0,
"Okeechobee, FL metro area",td_shapedtw,14.27,,
"Norwich, CT metro area",shapedtw,2.8,1,
"Norwich, CT metro area",td_shapedtw,2.49,,
"Rockford, IL metro area",shapedtw,1.9,0,
"Rockford, IL metro area",td_shapedtw,2.46,,
"Ardmore, OK metro area",shapedtw,16.18,0,
"Ardmore, OK metro area",td_shapedtw,16.31,,
"Ada, OK metro area",shapedtw,14.95,1,
"Ada, OK metro area",td_shapedtw,14.65,,
"Bradford, PA metro area",shapedtw,44.65,1,
"Bradford, PA metro area",td_shapedtw,42.75,,
"Topeka, KS metro area",shapedtw,3.21,0,
"Topeka, KS metro area",td_shapedtw,3.39,,
"Freeport, IL metro area",shapedtw,30.66,1,
"Freeport, IL metro area",td_shapedtw,29.11,,
"Philadelphia, PA metro area",shapedtw,1.56,1,
"Philadelphia, PA metro area",td_shapedtw,1.41,,
"Saginaw, MI metro area",shapedtw,6.78,0,
"Saginaw, MI metro area",td_shapedtw,7.1,,
"Muscatine, IA metro area",shapedtw,17.52,1,
"Muscatine, IA metro area",td_shapedtw,16.83,,
"Clewiston, FL metro area",shapedtw,6.99,1,
"Clewiston, FL metro area",td_shapedtw,6.1,,
"Fort Leonard Wood, MO metro area",shapedtw,10.48,1,
"Fort Leonard Wood, MO metro area",td_shapedtw,10.31,,
"Homosassa Springs, FL metro area",shapedtw,4.39,1,
"Homosassa Springs, FL metro area",td_shapedtw,4.22,,
"Payson, AZ metro area",shapedtw,10.22,1,
"Payson, AZ metro area",td_shapedtw,8,,
"Baltimore, MD metro area",shapedtw,2.97,0,
"Baltimore, MD metro area",td_shapedtw,3.08,,
"Columbus, OH metro area",shapedtw,1.2,0,
"Columbus, OH metro area",td_shapedtw,1.38,,
"Selinsgrove, PA metro area",shapedtw,15.99,0,
"Selinsgrove, PA metro area",td_shapedtw,17.48,,
"South Bend, IN metro area",shapedtw,5.46,1,
"South Bend, IN metro area",td_shapedtw,3.26,,
"Durham, NC metro area",shapedtw,4.05,1,
"Durham, NC metro area",td_shapedtw,3.48,,
"Pittsfield, MA metro area",shapedtw,10.3,1,
"Pittsfield, MA metro area",td_shapedtw,6.93,,
"Oxnard, CA metro area",shapedtw,1.7,1,
"Oxnard, CA metro area",td_shapedtw,0.92,,
